Name,City,job,Salary,Time,Shift,Age,Gender,Rank,,,,
rajpal,Bathinda,Plumbing,300,18:30,Evening(16:01-19:00),slotC,Male,31,,,,
bansilal,Jalandhar,Salesperson,400,10:30,Morning(8:00-12:00),slotB,Male,32,,,,
sameer,Ludhiana,Painter,300,12:00,Morning(8:00-12:00),slotB,Male,33,,,,
gulshad,Sunam,Carpentering,350,19:30,Night(19:01:22:00),slotA,Male,34,,,,
manisha,Hoshiarpur,Helper,200,13:30,Afternoon(12:01-16:00),slotC,Male,35,,,,
tarif,Firozpur,Packing,400,11:30,Morning(8:00-12:00),slotB,Female,36,,,,
vicky,Pathankot,Tuitions,200,19:30,Night(19:01:22:00),slotB,Female,37,,,,
rajesh,Muktsar,CarWashing,150,12:30,Afternoon(12:01-16:00),slotB,Female,38,,,,
raj rani,Pathankot,Packing,200,17:30,Evening(16:01-19:00),slotB,Female,39,,,,
mohammad ali imam,Faridkot,Electrician,350,08:30,Morning(8:00-12:00),slotB,Male,40,,,,
himani,Barnala,Salesperson,250,14:30,Afternoon(12:01-16:00),slotC,Male,41,,,,
aman,Batala,BrochureDistribution,250,16:00,Afternoon(12:01-16:00),slotC,Male,42,,,,
vashudev,Moga,Helper,200,15:30,Afternoon(12:01-16:00),slotC,Male,43,,,,
rizwan,Ludhiana,Carpentering,150,21:00,Night(19:01:22:00),slotA,Male,44,,,,
matadeen,Muktsar,CarWashing,350,20:00,Night(19:01:22:00),slotB,Female,45,,,,
ram parkash teneja,Jalandhar,Labour,200,15:30,Afternoon(12:01-16:00),slotB,Male,46,,,,
heena,Batala,Tuitions,300,11:30,Morning(8:00-12:00),slotA,Male,47,,,,
chanden,Sunam,Salesperson,200,20:00,Night(19:01:22:00),slotB,Male,48,,,,
deepchand,Muktsar,Delivery,450,17:30,Evening(16:01-19:00),slotC,Male,49,,,,
vikash,Sunam,BrandingOfProducts,450,16:30,Evening(16:01-19:00),slotB,Female,50,,,,
shajiya,Mohali,Helper,150,19:00,Evening(16:01-19:00),slotA,Male,51,,,,
raja,Bathinda,ProductsSampling,250,21:00,Night(19:01:22:00),slotC,Female,52,,,,
mohit,Muktsar,Electrician,450,15:00,Afternoon(12:01-16:00),slotB,Male,53,,,,
radhika,Hoshiarpur,Plumbing,300,14:30,Afternoon(12:01-16:00),slotB,Male,54,,,,
pallavi,Moga,BrandingOfProducts,250,14:00,Afternoon(12:01-16:00),slotA,Female,55,,,,
chumki,Amritsar,Plumbing,300,15:30,Afternoon(12:01-16:00),slotA,Male,56,,,,
surjeet,Batala,Painter,350,11:00,Morning(8:00-12:00),slotA,Female,57,,,,
rafiq ahmed,Rajpura,Tuitions,300,16:00,Afternoon(12:01-16:00),slotB,Male,58,,,,
kripya minch,Ludhiana,Electrician,200,19:30,Night(19:01:22:00),slotA,Male,59,,,,
mohd. shokat,Batala,Salesperson,150,12:00,Morning(8:00-12:00),slotC,Male,60,,,,
ketan,Faridkot,ProductsSampling,400,18:30,Evening(16:01-19:00),slotC,Female,61,,,,
swati thakur,Jalandhar,Packing,400,16:30,Evening(16:01-19:00),slotC,Male,62,,,,
anwari,Firozpur,ProductsSampling,450,15:30,Afternoon(12:01-16:00),slotB,Male,63,,,,
rupesh,Bathinda,Carpentering,300,16:00,Afternoon(12:01-16:00),slotC,Male,64,,,,
bilal,Kapurthala,BrochureDistribution,200,13:00,Afternoon(12:01-16:00),slotB,Female,65,,,,
rakesh sarkar,Ludhiana,BrochureDistribution,350,12:30,Afternoon(12:01-16:00),slotB,Male,66,,,,
saroj,Abohar,Welding,400,14:30,Afternoon(12:01-16:00),slotC,Male,67,,,,
suraj singh,Faridkot,Delivery,250,16:00,Afternoon(12:01-16:00),slotC,Male,68,,,,
sanavvar,Faridkot,Painter,300,08:30,Morning(8:00-12:00),slotA,Male,69,,,,
sanu,Abohar,Packing,400,20:30,Night(19:01:22:00),slotB,Male,70,,,,
santosh,Mohali,Carpentering,350,19:30,Night(19:01:22:00),slotC,Male,71,,,,
kripal singh,Mohali,BrochureDistribution,450,19:30,Night(19:01:22:00),slotB,Female,72,,,,
sandeep kumar,Sunam,Electrician,300,16:00,Afternoon(12:01-16:00),slotB,Male,73,,,,
radha,Ludhiana,Sweeping,350,17:30,Evening(16:01-19:00),slotB,Male,74,,,,
raj kumar,Pathankot,Electrician,150,19:30,Night(19:01:22:00),slotB,Male,75,,,,
raj kumari,Batala,Delivery,150,12:00,Morning(8:00-12:00),slotC,Female,76,,,,
ram chander jha,Pathankot,CarWashing,300,09:00,Morning(8:00-12:00),slotC,Male,77,,,,
raja devi,Firozpur,Promotions,200,21:00,Night(19:01:22:00),slotC,Male,78,,,,
naeem khan,Jalandhar,BrochureDistribution,400,18:30,Evening(16:01-19:00),slotB,Male,79,,,,
radha raman,Jalandhar,Salesperson,200,18:30,Evening(16:01-19:00),slotB,Male,80,,,,
raman sharma,Hoshiarpur,Welding,200,09:30,Morning(8:00-12:00),slotA,Male,81,,,,
akhil kumar,Phagwara,BrandingOfProducts,250,12:00,Morning(8:00-12:00),slotC,Male,82,,,,
saneha,Pathankot,ProductsSampling,300,11:00,Morning(8:00-12:00),slotC,Male,83,,,,
nitin parkash,Khanna,Tuitions,150,13:30,Afternoon(12:01-16:00),slotB,Male,84,,,,
sandeep kumar,Khanna,Electrician,400,10:30,Morning(8:00-12:00),slotB,Male,85,,,,
raj kumari,Abohar,Promotions,350,19:30,Night(19:01:22:00),slotA,Female,86,,,,
deepak,Mohali,Helper,350,17:30,Evening(16:01-19:00),slotA,Male,87,,,,
sahiba,Batala,Sweeping,400,19:00,Evening(16:01-19:00),slotA,Male,88,,,,
rakesh kumar garg,Firozpur,Helper,150,13:30,Afternoon(12:01-16:00),slotA,Male,89,,,,
irfan @ bhola,Firozpur,Tuitions,200,20:00,Night(19:01:22:00),slotB,Male,90,,,,
shri kant ghore,Barnala,Packing,300,08:30,Morning(8:00-12:00),slotB,Male,91,,,,
kaushar,Phagwara,CarWashing,250,11:30,Morning(8:00-12:00),slotA,Male,92,,,,
sonali,Bathinda,Sweeping,450,15:00,Afternoon(12:01-16:00),slotA,Male,93,,,,
komal,Moga,Electrician,150,13:30,Afternoon(12:01-16:00),slotB,Male,94,,,,
satender,Sunam,Helper,300,12:00,Morning(8:00-12:00),slotB,Male,95,,,,
durgesh,Mohali,Packing,450,20:00,Night(19:01:22:00),slotC,Male,96,,,,
ashu,Patiala,Delivery,250,08:30,Morning(8:00-12:00),slotB,Female,97,,,,
liyakat ali,Jalandhar,BrochureDistribution,450,21:30,Night(19:01:22:00),slotC,Male,98,,,,
khalil maziz,Barnala,Helper,300,15:30,Afternoon(12:01-16:00),slotC,Male,99,,,,
mangat singh,Bathinda,BrandingOfProducts,300,15:30,Afternoon(12:01-16:00),slotC,Male,100,,,,
nikita senger,Jalandhar,Welding,350,09:00,Morning(8:00-12:00),slotC,Male,101,,,,
nazmin,Rajpura,Labour,200,17:30,Evening(16:01-19:00),slotA,Male,102,,,,
radha,Muktsar,Promotions,250,19:30,Night(19:01:22:00),slotB,Female,103,,,,
tekchand,Muktsar,Carpentering,200,18:30,Evening(16:01-19:00),slotB,Male,104,,,,
bhavesh dass,Faridkot,Tuitions,150,19:00,Evening(16:01-19:00),slotB,Female,105,,,,
mohd shakib,Abohar,Carpentering,450,21:30,Night(19:01:22:00),slotB,Male,106,,,,
rakshit ghai,Bathinda,BrandingOfProducts,450,13:00,Afternoon(12:01-16:00),slotA,Male,107,,,,
shish pal,Batala,Tuitions,150,19:30,Night(19:01:22:00),slotA,Female,108,,,,
deepak kumar mishra,Malerkotla,Electrician,450,17:00,Evening(16:01-19:00),slotC,Male,109,,,,
anshu,Khanna,ProductsSampling,350,10:00,Morning(8:00-12:00),slotB,Male,110,,,,
abhishek,Faridkot,Tuitions,150,14:30,Afternoon(12:01-16:00),slotA,Female,111,,,,
laxmi narayan,Phagwara,Labour,150,12:00,Morning(8:00-12:00),slotA,Male,112,,,,
deep,Khanna,Packing,400,19:30,Night(19:01:22:00),slotC,Male,113,,,,
rakesh gupta,Batala,BrandingOfProducts,200,09:00,Morning(8:00-12:00),slotB,Female,114,,,,
barjraj,Pathankot,BrochureDistribution,400,10:30,Morning(8:00-12:00),slotB,Female,115,,,,
jay dev jha,Hoshiarpur,Electrician,300,15:00,Afternoon(12:01-16:00),slotA,Male,116,,,,
baldev,Moga,Tuitions,450,13:30,Afternoon(12:01-16:00),slotA,Male,117,,,,
radheyshyam saini,Patiala,Plumbing,250,09:30,Morning(8:00-12:00),slotC,Male,118,,,,
pankaj kumar,Muktsar,CarWashing,150,13:30,Afternoon(12:01-16:00),slotA,Male,119,,,,
suresh kumar jain,Kapurthala,Sweeping,200,15:30,Afternoon(12:01-16:00),slotB,Female,120,,,,
amardeep,Phagwara,Delivery,450,17:00,Evening(16:01-19:00),slotB,Female,121,,,,
surgayan kanwar,Patiala,BrandingOfProducts,250,17:30,Evening(16:01-19:00),slotB,Female,122,,,,
jyoti,Rajpura,Plumbing,400,10:30,Morning(8:00-12:00),slotC,Male,123,,,,
yogesh shukla,Rajpura,Salesperson,400,10:30,Morning(8:00-12:00),slotB,Male,124,,,,
chandesh,Phagwara,CarWashing,250,20:00,Night(19:01:22:00),slotC,Female,125,,,,
dhanna lal,Patiala,Electrician,200,15:30,Afternoon(12:01-16:00),slotC,Male,126,,,,
sandeep,Khanna,Salesperson,300,12:00,Morning(8:00-12:00),slotA,Male,127,,,,
geeta devi,Hoshiarpur,Painter,350,10:30,Morning(8:00-12:00),slotC,Male,128,,,,
ajay @ ajju,Ludhiana,Welding,350,13:30,Afternoon(12:01-16:00),slotC,Male,129,,,,
prahlad,Amritsar,Tuitions,350,21:30,Night(19:01:22:00),slotB,Male,130,,,,
aman bhatt,Firozpur,Painter,350,11:30,Morning(8:00-12:00),slotB,Male,131,,,,
shiva,Jalandhar,BrandingOfProducts,250,09:30,Morning(8:00-12:00),slotC,Female,132,,,,
anil kumar,Bathinda,Carpentering,450,13:30,Afternoon(12:01-16:00),slotA,Male,133,,,,
sunil,Bathinda,Painter,200,10:30,Morning(8:00-12:00),slotC,Male,134,,,,
kumari meera,Abohar,ProductsSampling,300,17:30,Evening(16:01-19:00),slotC,Male,135,,,,
pinki,Kapurthala,Packing,450,14:00,Afternoon(12:01-16:00),slotA,Male,136,,,,
midda,Batala,Sweeping,150,14:30,Afternoon(12:01-16:00),slotB,Male,137,,,,
mahipal,Abohar,BrandingOfProducts,450,14:30,Afternoon(12:01-16:00),slotA,Male,138,,,,
sahil tigga,Bathinda,CarWashing,400,16:30,Evening(16:01-19:00),slotC,Male,139,,,,
rajan,Kapurthala,Painter,150,11:00,Morning(8:00-12:00),slotC,Female,140,,,,
shashi @ kajal,Pathankot,Plumbing,350,15:00,Afternoon(12:01-16:00),slotC,Male,141,,,,
pinki,Khanna,Plumbing,300,19:30,Night(19:01:22:00),slotA,Male,142,,,,
neelam,Malerkotla,Helper,300,10:00,Morning(8:00-12:00),slotA,Male,143,,,,
ajay kumar,Patiala,Carpentering,450,11:30,Morning(8:00-12:00),slotC,Male,144,,,,
raghunandan das,Amritsar,Painter,300,14:00,Afternoon(12:01-16:00),slotB,Female,145,,,,
jyoti,Faridkot,BrandingOfProducts,350,18:30,Evening(16:01-19:00),slotB,Male,146,,,,
sanjeev,Hoshiarpur,Carpentering,200,14:00,Afternoon(12:01-16:00),slotB,Male,147,,,,
aditya,Amritsar,Labour,350,14:00,Afternoon(12:01-16:00),slotB,Male,148,,,,
mustkeem,Patiala,Helper,300,11:00,Morning(8:00-12:00),slotA,Male,149,,,,
rajesh,Moga,BrochureDistribution,450,19:00,Evening(16:01-19:00),slotB,Male,150,,,,
mohd sajad ali,Amritsar,ProductsSampling,200,14:30,Afternoon(12:01-16:00),slotC,Male,151,,,,
rajesh kumar,Abohar,Helper,300,21:00,Night(19:01:22:00),slotB,Female,152,,,,
kanheya,Moga,ProductsSampling,250,16:00,Afternoon(12:01-16:00),slotC,Male,153,,,,
vikash,Mohali,Sweeping,300,08:00,Morning(8:00-12:00),slotA,Male,154,,,,
deepali,Hoshiarpur,ProductsSampling,150,20:30,Night(19:01:22:00),slotA,Male,155,,,,
birij kisor,Ludhiana,Salesperson,400,13:30,Afternoon(12:01-16:00),slotA,Female,156,,,,
nandni,Sunam,Carpentering,150,15:30,Afternoon(12:01-16:00),slotB,Male,157,,,,
rima,Pathankot,CarWashing,300,17:00,Evening(16:01-19:00),slotA,Female,158,,,,
gytri  garg,Phagwara,Carpentering,150,20:30,Night(19:01:22:00),slotB,Male,159,,,,
pardeep kumar,Kapurthala,Welding,200,11:30,Morning(8:00-12:00),slotC,Male,160,,,,
seema,Ludhiana,Labour,300,17:30,Evening(16:01-19:00),slotB,Male,161,,,,
navneet,Phagwara,BrandingOfProducts,350,10:00,Morning(8:00-12:00),slotA,Female,162,,,,
rishi,Malerkotla,Carpentering,400,14:00,Afternoon(12:01-16:00),slotA,Male,163,,,,
rakesh singh,Ludhiana,Packing,150,17:30,Evening(16:01-19:00),slotB,Male,164,,,,
jitender,Batala,BrochureDistribution,300,20:30,Night(19:01:22:00),slotA,Female,165,,,,
chandan tivari,Patiala,Packing,300,13:00,Afternoon(12:01-16:00),slotB,Male,166,,,,
mohit,Mohali,Tuitions,300,20:30,Night(19:01:22:00),slotC,Male,167,,,,
rattan vail,Firozpur,Sweeping,150,17:00,Evening(16:01-19:00),slotC,Male,168,,,,
sachin verma,Barnala,Delivery,400,13:30,Afternoon(12:01-16:00),slotC,Female,169,,,,
priti,Hoshiarpur,Promotions,250,18:30,Evening(16:01-19:00),slotA,Female,170,,,,
asha,Bathinda,Tuitions,250,08:30,Morning(8:00-12:00),slotB,Male,171,,,,
raziya,Malerkotla,Packing,200,20:30,Night(19:01:22:00),slotC,Male,172,,,,
harsh @ aman,Malerkotla,Tuitions,300,15:00,Afternoon(12:01-16:00),slotC,Male,173,,,,
harvinder singh sandhu,Faridkot,CarWashing,450,10:30,Morning(8:00-12:00),slotB,Female,174,,,,
abdul rehman,Moga,ProductsSampling,350,08:30,Morning(8:00-12:00),slotC,Male,175,,,,
nanak chand,Hoshiarpur,Helper,300,19:30,Night(19:01:22:00),slotB,Male,176,,,,
amit kumar,Faridkot,Sweeping,150,15:30,Afternoon(12:01-16:00),slotB,Male,177,,,,
dinesh singh,Barnala,Electrician,200,21:00,Night(19:01:22:00),slotA,Male,178,,,,
mohd israr,Phagwara,Promotions,250,18:30,Evening(16:01-19:00),slotA,Male,179,,,,
mohd khairul,Malerkotla,ProductsSampling,400,10:00,Morning(8:00-12:00),slotB,Female,180,,,,
rohit,Khanna,Painter,350,09:30,Morning(8:00-12:00),slotA,Male,181,,,,
ramesh,Kapurthala,Labour,400,20:00,Night(19:01:22:00),slotC,Male,182,,,,
bangali babu,Khanna,Labour,150,21:30,Night(19:01:22:00),slotC,Male,183,,,,
mamta,Rajpura,Salesperson,350,16:30,Evening(16:01-19:00),slotA,Male,184,,,,
punam,Sunam,Salesperson,250,15:00,Afternoon(12:01-16:00),slotC,Male,185,,,,
divansh,Firozpur,BrandingOfProducts,400,12:30,Afternoon(12:01-16:00),slotC,Female,186,,,,
"punit kumar @ ankur m.no.-7404660980, 9813186044.",Pathankot,Delivery,400,15:30,Afternoon(12:01-16:00),slotA,Male,187,,,,
ramkesh,Ludhiana,Plumbing,300,13:30,Afternoon(12:01-16:00),slotA,Male,188,,,,
aditya sharma,Patiala,BrochureDistribution,150,12:00,Morning(8:00-12:00),slotB,Male,189,,,,
vishal tiwari,Kapurthala,Sweeping,150,12:00,Morning(8:00-12:00),slotC,Female,190,,,,
raj kumar,Kapurthala,Salesperson,250,20:30,Night(19:01:22:00),slotC,Male,191,,,,
jat ram,Hoshiarpur,Packing,450,19:00,Evening(16:01-19:00),slotA,Male,192,,,,
adesh kumar,Batala,Labour,200,16:30,Evening(16:01-19:00),slotC,Male,193,,,,
sonam,Pathankot,Salesperson,350,13:00,Afternoon(12:01-16:00),slotA,Female,194,,,,
pooran chand,Rajpura,Helper,150,15:30,Afternoon(12:01-16:00),slotB,Female,195,,,,
pooja & his daughter partigya,Rajpura,Packing,200,12:30,Afternoon(12:01-16:00),slotB,Female,196,,,,
hukam chand,Rajpura,Welding,200,13:30,Afternoon(12:01-16:00),slotC,Male,197,,,,
mohd salman,Amritsar,Sweeping,300,14:30,Afternoon(12:01-16:00),slotC,Male,198,,,,
nisha,Moga,Helper,350,13:00,Afternoon(12:01-16:00),slotC,Female,199,,,,
mobsheera haider (shadiya),Bathinda,Welding,450,09:00,Morning(8:00-12:00),slotC,Male,200,,,,
imran s/o maman singh,Malerkotla,Electrician,450,20:00,Night(19:01:22:00),slotB,Male,201,,,,
dr. hema hari pago,Abohar,Plumbing,150,19:00,Evening(16:01-19:00),slotB,Male,202,,,,
charan jeet singh,Rajpura,BrandingOfProducts,450,09:00,Morning(8:00-12:00),slotC,Female,203,,,,
mantu kumar,Khanna,CarWashing,250,14:30,Afternoon(12:01-16:00),slotC,Male,204,,,,
ashok kharkwal,Kapurthala,Electrician,200,18:30,Evening(16:01-19:00),slotC,Male,205,,,,
ranveer singh,Khanna,Promotions,350,16:00,Afternoon(12:01-16:00),slotC,Male,206,,,,
ashish,Kapurthala,Tuitions,450,13:30,Afternoon(12:01-16:00),slotB,Male,207,,,,
anuj,Hoshiarpur,ProductsSampling,450,13:30,Afternoon(12:01-16:00),slotA,Female,208,,,,
priya sexena,Abohar,Welding,150,21:30,Night(19:01:22:00),slotA,Male,209,,,,
manoj kumar,Abohar,CarWashing,250,09:00,Morning(8:00-12:00),slotC,Female,210,,,,
dheeraj singh,Firozpur,Delivery,400,20:00,Night(19:01:22:00),slotB,Male,211,,,,
naseem,Patiala,CarWashing,350,16:30,Evening(16:01-19:00),slotA,Male,212,,,,
aditya kasana,Rajpura,Plumbing,300,20:30,Night(19:01:22:00),slotC,Male,213,,,,
komal / kabila,Faridkot,ProductsSampling,200,18:30,Evening(16:01-19:00),slotC,Male,214,,,,
aabid,Sunam,Welding,150,10:00,Morning(8:00-12:00),slotC,Male,215,,,,
rohan,Barnala,Painter,350,19:30,Night(19:01:22:00),slotB,Male,216,,,,
amrudin,Hoshiarpur,Painter,150,10:30,Morning(8:00-12:00),slotB,Male,217,,,,
bittu paswan,Moga,Tuitions,200,19:30,Night(19:01:22:00),slotA,Female,218,,,,
pankaj kumar,Ludhiana,Carpentering,150,10:30,Morning(8:00-12:00),slotB,Male,219,,,,
shivani,Phagwara,Carpentering,200,16:30,Evening(16:01-19:00),slotA,Male,220,,,,
khshbu,Amritsar,Delivery,350,19:30,Night(19:01:22:00),slotA,Male,221,,,,
balwant singh,Barnala,Painter,350,15:00,Afternoon(12:01-16:00),slotB,Male,222,,,,
sameem,Khanna,Tuitions,400,13:00,Afternoon(12:01-16:00),slotB,Male,223,,,,
nazeem,Moga,Electrician,250,09:30,Morning(8:00-12:00),slotA,Male,224,,,,
rehman khan,Phagwara,Delivery,150,20:00,Night(19:01:22:00),slotB,Male,225,,,,
amit @ gajju,Patiala,BrochureDistribution,200,11:00,Morning(8:00-12:00),slotB,Female,226,,,,
lekhraj,Jalandhar,BrochureDistribution,350,12:30,Afternoon(12:01-16:00),slotA,Male,227,,,,
satish kumar,Pathankot,ProductsSampling,150,10:00,Morning(8:00-12:00),slotC,Female,228,,,,
akash,Hoshiarpur,Tuitions,250,16:30,Evening(16:01-19:00),slotC,Female,229,,,,
vinay,Muktsar,Salesperson,150,18:00,Evening(16:01-19:00),slotB,Male,230,,,,
rohit kumar,Kapurthala,Labour,450,14:00,Afternoon(12:01-16:00),slotC,Male,231,,,,
sanjay kumar s/o,Bathinda,Painter,450,09:00,Morning(8:00-12:00),slotC,Male,232,,,,
deepak,Khanna,ProductsSampling,450,16:00,Afternoon(12:01-16:00),slotB,Female,233,,,,
aadil,Moga,BrochureDistribution,400,17:30,Evening(16:01-19:00),slotA,Male,234,,,,
faijal,Abohar,Labour,150,12:00,Morning(8:00-12:00),slotC,Male,235,,,,
sapna,Kapurthala,Salesperson,350,13:00,Afternoon(12:01-16:00),slotB,Male,236,,,,
tufel,Khanna,Delivery,350,19:00,Evening(16:01-19:00),slotC,Male,237,,,,
harsh,Abohar,Labour,150,15:00,Afternoon(12:01-16:00),slotC,Male,238,,,,
mohd. firoz,Khanna,Helper,450,20:00,Night(19:01:22:00),slotA,Female,239,,,,
asha kumari,Khanna,Carpentering,350,21:00,Night(19:01:22:00),slotA,Male,240,,,,
ajit,Patiala,Carpentering,450,20:30,Night(19:01:22:00),slotA,Male,241,,,,
jyoti,Jalandhar,Tuitions,450,09:30,Morning(8:00-12:00),slotC,Female,242,,,,
ankit,Khanna,Carpentering,250,14:00,Afternoon(12:01-16:00),slotA,Male,243,,,,
pavan sharma,Patiala,BrochureDistribution,450,11:00,Morning(8:00-12:00),slotB,Male,244,,,,
astha,Batala,Packing,250,14:00,Afternoon(12:01-16:00),slotA,Female,245,,,,
gaurav sukla,Moga,Sweeping,150,12:00,Morning(8:00-12:00),slotB,Male,246,,,,
ram kishan,Jalandhar,ProductsSampling,450,20:30,Night(19:01:22:00),slotB,Male,247,,,,
som dutt,Rajpura,Sweeping,300,19:30,Night(19:01:22:00),slotC,Male,248,,,,
pooja,Patiala,ProductsSampling,350,11:00,Morning(8:00-12:00),slotA,Male,249,,,,
sachin pal,Patiala,Helper,250,18:30,Evening(16:01-19:00),slotC,Female,250,,,,
aamir hussain,Ludhiana,Sweeping,350,10:00,Morning(8:00-12:00),slotC,Female,251,,,,
arun,Faridkot,Packing,450,16:00,Afternoon(12:01-16:00),slotB,Male,252,,,,
manju,Khanna,Salesperson,150,12:00,Morning(8:00-12:00),slotA,Female,253,,,,
shamim ansari,Muktsar,BrochureDistribution,250,18:30,Evening(16:01-19:00),slotB,Male,254,,,,
gorav,Batala,Plumbing,400,12:00,Morning(8:00-12:00),slotC,Male,255,,,,
sahin,Kapurthala,Electrician,450,13:00,Afternoon(12:01-16:00),slotA,Male,256,,,,
parvesh kumari,Ludhiana,Delivery,300,14:00,Afternoon(12:01-16:00),slotA,Female,257,,,,
jyoti,Faridkot,Tuitions,350,21:30,Night(19:01:22:00),slotB,Male,258,,,,
vijay bansal,Malerkotla,Carpentering,250,16:30,Evening(16:01-19:00),slotB,Male,259,,,,
sanjay,Malerkotla,Promotions,450,15:30,Afternoon(12:01-16:00),slotB,Female,260,,,,
sidharath,Amritsar,Welding,400,11:30,Morning(8:00-12:00),slotB,Male,261,,,,
kuldeep singh,Moga,Salesperson,350,11:30,Morning(8:00-12:00),slotC,Male,262,,,,
kuldeep,Abohar,Plumbing,250,19:00,Evening(16:01-19:00),slotB,Male,263,,,,
vaishali,Firozpur,BrochureDistribution,250,11:30,Morning(8:00-12:00),slotB,Male,264,,,,
manish maheshwari,Malerkotla,ProductsSampling,150,17:00,Evening(16:01-19:00),slotA,Female,265,,,,
aarti,Barnala,Delivery,300,19:30,Night(19:01:22:00),slotB,Female,266,,,,
vijay @ pappu,Hoshiarpur,Labour,350,08:30,Morning(8:00-12:00),slotC,Male,267,,,,
payal,Firozpur,Sweeping,400,11:30,Morning(8:00-12:00),slotC,Male,268,,,,
khushbu,Bathinda,Electrician,200,15:00,Afternoon(12:01-16:00),slotC,Male,269,,,,
subhash,Ludhiana,BrandingOfProducts,250,19:00,Evening(16:01-19:00),slotA,Male,270,,,,
pankaj,Malerkotla,Carpentering,450,08:00,Morning(8:00-12:00),slotB,Male,271,,,,
vishal @ moni,Hoshiarpur,Promotions,250,17:30,Evening(16:01-19:00),slotB,Male,272,,,,
pappy,Batala,Salesperson,450,22:00,Night(19:01:22:00),slotC,Male,273,,,,
mantu kumar,Amritsar,CarWashing,400,11:30,Morning(8:00-12:00),slotB,Male,274,,,,
km varsha,Amritsar,CarWashing,450,17:30,Evening(16:01-19:00),slotC,Male,275,,,,
reena devi,Mohali,ProductsSampling,300,17:30,Evening(16:01-19:00),slotB,Male,276,,,,
ikramuddin,Moga,CarWashing,350,09:30,Morning(8:00-12:00),slotB,Female,277,,,,
durganand,Moga,Packing,200,10:00,Morning(8:00-12:00),slotC,Male,278,,,,
shahnawaj,Kapurthala,Plumbing,300,17:30,Evening(16:01-19:00),slotC,Male,279,,,,
ajay,Faridkot,Electrician,450,16:00,Afternoon(12:01-16:00),slotC,Male,280,,,,
pulkit sharma,Jalandhar,Delivery,400,12:30,Afternoon(12:01-16:00),slotC,Male,281,,,,
paramjeet singh,Khanna,Promotions,350,14:30,Afternoon(12:01-16:00),slotB,Male,282,,,,
shib lal singh,Sunam,Painter,200,21:00,Night(19:01:22:00),slotB,Male,283,,,,
vicky,Khanna,Salesperson,400,20:30,Night(19:01:22:00),slotC,Male,284,,,,
